PLAYER_NAME,SALARY
Jordan Goodwin,5864198
Aday Mara,5791680
Ousmane Dieng,5750000
Matas Buzelis,5715360
Noa Essengue,5701200
Kris Dunn,5684800
Brandin Podziemski,5679459
Paul Reed,5602689
Khris Middleton,5591122
Nate Ament,5502000
Precious Achiuwa,5477000
De'Anthony Melton,5477000
Nikola Topić,5429760
Derik Queen,5416080
Noah Clowney,5414034
Kevin Porter Jr.,5390700
Landry Shamet,5357143
Kris Murray,5315004
Jordan Miller,5300000
Hannes Steinbach,5227200
Marcus Sasser,5198983
Devin Carter,5158080
Carter Bryant,5145360
Ben Sheppard,5031669
Kenrich Williams,5000000
Dailyn Swain,4965480
Bub Carrington,4900560
Thomas Sorber,4887720
Brice Sensabaugh,4862237
Julian Strawther,4826931
Bennett Stirtz,4717320
Kel'el Ware,4654920
Yang Hansen,4643520
Gui Santos,4629630
Jose Alvarado,4500000
Josh Minott,4500000
Ebuka Okorie,4481280
Jared McCain,4422600
Joan Beringer,4411200
Christian Anderson Jr.,4257480
Dalton Knecht,4201080
Walter Clayton,4190520
Allen Graves,4065720
Nolan Traoré,4002000
Ryan Rollins,4000000
Daniss Jenkins,4000000
Tristan Da Silva,3991200
Miles McBride,3956523
Javonte Green,3943679
Jayden Quaintance,3902760
DeAndre Jordan,3876529
LeBron James,3876529
Svi Mykhailiuk,3850000
Kasparas Jakučionis,3841680
Taurean Prince,3815861
Gary Harris,3815861
Pat Connaughton,3815861
Ja'Kobe Walter,3811800
Karim López,3746760
Cole Anthony,3700000
Will Riley,3688320
Jaylon Tyson,3658560
Labaron Philon Jr.,3597120
Drake Powell,3540600
Yves Missi,3512760
Zuby Ejiofor,3453360
Dominick Barlow,3415000
Ariel Hukporti,3400000
Asa Newell,3399480
DaRon Holmes,3372120
Cameron Carr,3315360
Mo Bamba,3286399
Lonnie Walker IV,3286399
Nique Clifford,3263400
AJ Johnson,3237120
Sergio de Larrea,3182280
Ron Harper Jr.,3150752
Jase Richardson,3132360
Kyshawn George,3108000
Nassir Little,3107143
Jaylen Clark,3086420
Tarris Reed Jr.,3076920
Ben Saraf,3028560
Tarik Biberovic,3000000
Kyle Filipowski,3000000
Chris Cenac Jr.,2988120
Pacôme Dadiet,2983680
Joshua Jefferson,2969520
Alex Karaban,2948280
Danny Wolf,2941440
Koa Peat,2926800
Hugo González,2923560
Liam McNeeley,2902080
Yanic Konan Niederhäuser,2880960
Ajay Mitchell,2850000
Bones Hyland,2845883
Terrence Shannon Jr.,2801640
Micah Potter,2801346
Jericho Sims,2801346
Luka Garza,2801346
Ryan Dunn,2784240
Isaiah Collier,2763960
Baylor Scheierman,2744040
Neemias Queta,2667944
Justin Champagnie,2667944
Vít Krejčí,2667944
Jay Huff,2667944
Christian Koloko,2625627
JD Davison,2625627
Caleb Houstan,2625627
Kobe Sanders,2622139
Jamaree Bouyea,2584539
Jamal Cain,2584539
Bryce McGowens,2584539
Jabari Walker,2584539
Dru Smith,2584539
Pete Nance,2537526
Oscar Tshiebwe,2537526
Julian Phillips,2537526
Andre Jackson Jr.,2537526
Malaki Branham,2537526
Olivier-Maxence Prosper,3500172
Sidy Cissoko,2497812
Scotty Pippen Jr.,2461462
Moussa Diabaté,2461462
Daeqwon Plowden,2449421
Isaiah Crawford,2449421
Harrison Ingram,2449421
Kyle Anderson,2449421
Jordan McLaughlin,2449421
Jeremy Sochan,2449421
Branden Carlson,2449421
Jevon Carter,2449421
Nikola Vučević,2449421
Jordan Clarkson,2449421
Andre Drummond,2449421
Kobe Bufkin,2449421
Trey Lyles,2449421
Nick Richards,2449421
Simone Fontecchio,2449421
Matisse Thybulle,2449421
Ziaire Williams,2449421
Kevon Looney,2449421
Larry Nance Jr.,2449421
Jae'Sean Tate,2449421
Bogdan Bogdanović,2449421
Gary Payton II,2449421
Charles Bassey,2449421
DeMar DeRozan,2449421
Marvin Bagley III,2449421
Tyus Jones,2449421
Mario Hezonja,2449421
Thomas Bryant,2449421
Mike Conley,2449421
Haywood Highsmith,3449421
Ben Simmons,2449421
Dillon Jones,2449421
Trendon Watford,2449421
John Butler,2449421
Yuki Kawamura,2449421
Georges Niang,2449421
Brandon Williams,2449421
Cam Spencer,2411090
Justin Edwards,2411090
Tolu Smith,2411090
Nae'Qwan Tomlin,2411090
Ryan Kalkbrenner,2411090
Sion James,2411090
Jordan Walsh,2406205
Trayce Jackson-Davis,2406205
GG Jackson II,2406205
Craig Porter Jr.,2406205
Leonard Miller,2406205
Mouhamed Gueye,2406205
Jamal Shead,2296271
Tyler Kolek,2296271
Karlo Matković,2296271
Pelle Larsson,2296271
Johnny Furphy,2296271
Jamison Battle,2296271
Oso Ighodaro,2296271
Adem Bona,2296271
Jaylen Wells,2296271
Bronny James,2296271
Cam Christie,2296271
Mohamed Diawara,2232143
JaVale McGee,2208856
Alijah Martin,2185116
Moussa Cisse,2185116
Malachi Smith,2185116
Taelon Peter,2185116
Alex Toohey,2185116
Bez Mbeng,2185116
Rasheer Fleming,2150917
Maxime Raynaud,2150917
Noah Penda,2150917
Micah Peavy,2150917
Adou Thiero,2150917
Johni Broome,2150917
Will Richard,2150917
Chaz Lanier,2150917
Tyrese Proctor,2150917
Ryan Nembhard,2150917
Myron Gardner,2150917
John Konchar,2055000
Cam Whitmore,1819437
Baba Miller,1705630
Isaiah Evans,1357763
Bogoljub Markovic,1357763
Meleek Thomas,1357763
Emanuel Sharp,1357763
Ryan Conwell,1357763
Henri Veesaar,1357763
Bruce Thornton,1357763
Trevon Brazile,1357763
Khalifa Diop,1357763
Nate Bittle,1357763
Tacko Fall,1357763
Jameer Nelson Jr.,1357763
Saint Thomas,1357763
J'Vonne Hadley,1357763
Dalen Terry,1357763
Tucker DeVries,1357763
Milos Uzan,1357763
E.J. Liddell,706898
Vasilije Micić,666667
Mamadi Diakite,464050
Ricky Rubio,424672
Didi Louzada,268032
Taj Gibson,148828
